QUAL	[2]id	[3]Quality	[4]number of SNPs	[5]number of transitions (1st ALT)	[6]number of transversions (1st ALT)	[7]number of indels
QUAL	0	540	23	14	8	1
QUAL	0	541	24	11	10	0
QUAL	0	542	19	10	8	2
QUAL	0	543	16	9	7	1
QUAL	0	544	27	16	10	1
QUAL	0	545	26	15	10	1
QUAL	0	546	22	8	13	5
QUAL	0	547	24	18	6	1
QUAL	0	548	29	14	13	0
QUAL	0	549	25	15	10	0
QUAL	0	550	26	13	13	3
QUAL	0	551	24	15	9	0
QUAL	0	552	21	10	11	0
QUAL	0	553	23	13	10	6
QUAL	0	554	29	19	9	1
QUAL	0	555	35	22	12	2
QUAL	0	556	24	9	14	2
QUAL	0	557	22	13	9	3
QUAL	0	558	29	19	10	0
QUAL	0	559	32	17	15	2
QUAL	0	560	24	14	10	3
QUAL	0	561	22	13	8	2
QUAL	0	562	22	10	11	6
QUAL	0	563	23	14	9	3
QUAL	0	564	24	11	13	1
QUAL	0	565	30	18	12	2
QUAL	0	566	23	9	12	1
QUAL	0	567	16	6	10	1
QUAL	0	568	12	6	5	2
QUAL	0	569	23	14	9	1
QUAL	0	570	35	16	18	1
QUAL	0	571	28	18	9	1
QUAL	0	572	26	11	11	5
QUAL	0	573	23	15	8	1
QUAL	0	574	31	17	13	2
QUAL	0	575	38	24	13	2
QUAL	0	576	28	12	13	1
QUAL	0	577	13	5	8	3
QUAL	0	578	25	12	13	2
QUAL	0	579	25	15	10	1
QUAL	0	580	27	9	16	2
QUAL	0	581	17	6	10	0
QUAL	0	582	23	9	12	2
QUAL	0	583	30	15	15	0
QUAL	0	584	23	8	15	1
QUAL	0	585	25	12	13	1
QUAL	0	586	21	8	12	1
QUAL	0	587	21	12	9	0
QUAL	0	588	25	13	12	0
QUAL	0	589	31	18	11	4
QUAL	0	590	32	22	9	1
QUAL	0	591	13	8	5	1
QUAL	0	592	18	8	10	1
QUAL	0	593	20	10	10	1
QUAL	0	594	24	13	11	0
QUAL	0	595	24	13	10	2
QUAL	0	596	19	8	10	1
QUAL	0	597	20	9	11	1
QUAL	0	598	21	8	13	3
QUAL	0	599	27	12	15	1
QUAL	0	600	24	15	9	4
QUAL	0	601	20	9	11	1
QUAL	0	602	23	10	12	3
QUAL	0	603	24	10	13	1
QUAL	0	604	25	12	12	3
QUAL	0	605	28	13	15	1
QUAL	0	606	33	21	12	2
QUAL	0	607	30	14	15	3
QUAL	0	608	18	8	10	0
QUAL	0	609	23	12	11	3
QUAL	0	610	23	14	8	1
QUAL	0	611	16	8	8	3
QUAL	0	612	25	10	14	2
QUAL	0	613	26	12	14	1
QUAL	0	614	21	11	10	4
QUAL	0	615	29	16	13	2
QUAL	0	616	24	13	10	1
QUAL	0	617	24	11	11	2
QUAL	0	618	20	12	8	2
QUAL	0	619	19	12	7	2
QUAL	0	620	23	14	9	1
QUAL	0	621	18	9	9	4
QUAL	0	622	18	8	9	1
QUAL	0	623	36	23	12	1
QUAL	0	624	18	10	8	0
QUAL	0	625	34	12	21	2
QUAL	0	626	24	14	9	0
QUAL	0	627	24	10	12	1
QUAL	0	628	21	7	14	2
QUAL	0	629	22	10	12	1
QUAL	0	630	29	16	12	3
QUAL	0	631	20	14	6	3
QUAL	0	632	23	12	10	3
QUAL	0	633	24	11	13	1
QUAL	0	634	21	11	8	0
QUAL	0	635	20	8	11	1
QUAL	0	636	18	10	8	1
QUAL	0	637	31	19	10	1
QUAL	0	638	24	9	13	2
QUAL	0	639	17	9	8	1
QUAL	0	640	22	15	7	0
QUAL	0	641	19	11	7	1
QUAL	0	642	17	9	7	3
QUAL	0	643	28	18	9	1
QUAL	0	644	30	13	15	1
QUAL	0	645	25	12	11	2
QUAL	0	646	35	21	13	2
QUAL	0	647	18	9	8	3
QUAL	0	648	20	11	9	0
QUAL	0	649	27	15	12	3
QUAL	0	650	27	15	11	1
QUAL	0	651	28	15	13	2
QUAL	0	652	23	12	11	1
QUAL	0	653	19	7	11	2
QUAL	0	654	23	16	6	2
QUAL	0	655	20	9	11	2
QUAL	0	656	21	11	10	1
QUAL	0	657	23	9	12	2
QUAL	0	658	23	10	13	1
QUAL	0	659	21	5	15	0
QUAL	0	660	24	9	15	2
QUAL	0	661	21	9	12	2
QUAL	0	662	20	10	10	4
QUAL	0	663	19	13	6	0
QUAL	0	664	18	10	8	2
QUAL	0	665	18	9	8	1
QUAL	0	666	18	10	8	1
QUAL	0	667	28	16	12	2
QUAL	0	668	23	17	6	1
QUAL	0	669	15	9	6	3
QUAL	0	670	22	10	12	0
QUAL	0	671	29	9	16	3
QUAL	0	672	22	14	8	1
QUAL	0	673	20	12	8	4
QUAL	0	674	21	8	13	2
QUAL	0	675	20	11	9	7
QUAL	0	676	15	6	8	2
QUAL	0	677	21	12	7	2
QUAL	0	678	21	14	7	1
QUAL	0	679	23	5	17	1
QUAL	0	680	22	12	10	0
QUAL	0	681	24	13	9	2
QUAL	0	682	20	11	8	0
QUAL	0	683	19	11	8	1
QUAL	0	684	18	7	11	1
QUAL	0	685	22	11	10	1
QUAL	0	686	30	21	7	1
QUAL	0	687	16	7	9	2
QUAL	0	688	23	6	16	4
QUAL	0	689	18	6	10	6
QUAL	0	690	19	7	12	2
QUAL	0	691	26	9	16	0
QUAL	0	692	18	12	5	2
QUAL	0	693	21	11	10	0
QUAL	0	694	25	9	16	2
QUAL	0	695	25	15	9	3
QUAL	0	696	17	5	12	2
QUAL	0	697	19	14	5	2
QUAL	0	698	15	8	7	2
QUAL	0	699	23	10	13	1
QUAL	0	700	26	12	14	3
QUAL	0	701	31	15	16	4
QUAL	0	702	24	12	12	4
QUAL	0	703	25	14	10	0
QUAL	0	704	19	13	6	2
QUAL	0	705	24	13	11	2
QUAL	0	706	20	13	7	3
QUAL	0	707	20	9	11	1
QUAL	0	708	20	10	7	1
QUAL	0	709	21	9	11	0
QUAL	0	710	18	6	12	3
QUAL	0	711	18	10	8	0
QUAL	0	712	19	9	9	1
QUAL	0	713	21	9	10	3
QUAL	0	714	20	11	7	4
QUAL	0	715	18	12	6	2
QUAL	0	716	23	13	7	2
QUAL	0	717	17	8	8	1
QUAL	0	718	18	7	11	0
QUAL	0	719	11	9	2	0
QUAL	0	720	34	12	21	1
QUAL	0	721	18	10	8	2
QUAL	0	722	20	13	7	2
QUAL	0	723	14	7	7	2
QUAL	0	724	19	10	8	1
QUAL	0	725	24	12	11	3
