Old Specimen ID,DNA plate,DNA plate well,Specimen ID,Label,Adductor Sample,Shell Sample,Shell Length (cm - recorded by collection team),Tallest hinge height,Shell Length (mm - recorded by HGH),Estimate for Shell Length,Extracted,Species Diagnostic (RFLP)
SS0819_349,20200124pl2,24,CUP0819_349,349,Yes,YI,8.3,29.6,73.6,73.6,1/24/20,S. solidisima
SS0819_350,20200124pl2,25,CUP0819_350,350,Yes,YI,6.2,,62,62,1/24/20,S. solidisima
SS0819_351,20200124pl2,27,CUP0819_351,351,Yes,YI,6.6,,66,66,1/24/20,S. solidisima
SS0819_352,20200124pl2,28,CUP0819_352,352,Yes,YI,2.5,,26.4,26.4,1/24/20,S. solidisima
SS0819_353,20200124pl2,29,CUP0819_353,353,Yes,YI,2.6,,27.3,27.3,1/24/20,S. solidisima
SS0819_354,20200124pl2,30,CUP0819_354,354,Yes,YI,2.8,,27.5,27.5,1/24/20,S. solidisima
SS0819_355,20200124pl2,31,CUP0819_355,355,Yes,YI,2.4,,26.4,26.4,1/24/20,S. solidisima
SS0819_356,20200124pl2,32,CUP0819_356,356,Yes,YB,2.5,,25.9,25.9,1/24/20,S. solidisima
SS0819_357,20200124pl2,33,CUP0819_357,357,Yellowed Sample,YI,2.1,,22.1,22.1,1/24/20,S. solidisima
SS0819_358,20200124pl2,34,CUP0819_358,358,Yes,Y,2.6,,27,27,1/24/20,S. solidisima
SS0819_359,20200124pl2,35,CUP0819_359,359,Yes,Y,3.1,,31.6,31.6,1/24/20,S. solidisima
SS0819_360,20200124pl2,36,CUP0819_360,360,Yes,BI,,NaN,NaN,,1/24/20,S. solidisima
SS0819_361,20200124pl2,37,CUP0819_361,361,Yes,YI,,NaN,130,130,1/24/20,S. solidisima
SS0819_362,20200124pl2,38,CUP0819_362,362,Yes,PI,,NaN,NaN,,1/24/20,S. solidisima
SS0819_363,20200124pl2,39,CUP0819_363,363,Yes,B,,NaN,NaN,,1/24/20,S. solidisima
SS0819_364,20200124pl2,40,CUP0819_364,364,Yes,PP,,52.3,,125.6971319,1/24/20,S. solidisima
SS0819_365,20200124pl2,41,CUP0819_365,365,Yes,N,,,,,1/24/20,S. solidisima
SS0819_366,20200124pl2,42,CUP0819_366,366,Yes,PI,,NaN,NaN,,1/24/20,S. solidisima
SS0819_367,20200124pl2,43,CUP0819_367,367,Yes,PI,,54.4,,130.7442443,1/24/20,S. solidisima
SS0819_368,20200124pl2,44,CUP0819_368,368,Yes,PS,,38,96.2,96.2,1/24/20,S. solidisima
SS0819_369,20200124pl2,45,CUP0819_369,369,Yes,BI,,NaN,NaN,,1/24/20,S. solidisima
SS0819_370,20200124pl2,46,CUP0819_370,370,Yes,Yes,,,,,1/24/20,S. solidisima
SS0819_371,20200124pl2,47,CUP0819_371,371,Yes,Yes,5.6,,56,56,1/24/20,S. solidisima
SS0819_372,20200124pl2,48,CUP0819_372,372,Yes,PI,,,,,1/24/20,S. solidisima
SS0819_373,20200124pl2,49,CUP0819_373,373,Yes,Partial,,,,,1/24/20,S. solidisima
SS0819_374,20200124pl2,50,CUP0819_374,374,Yes,PI,,,,,1/24/20,S. solidisima
SS0819_375,20200124pl2,51,CUP0819_375,375,Yes,Y,,,,,1/24/20,S. solidisima
SS0819_376,20200124pl2,52,CUP0819_376,376,Yes,BI,,31.7,,76.18736293,1/24/20,S. solidisima
SS0819_377,20200124pl2,53,CUP0819_377,377,Yes,YI,6.1,,61,61,1/24/20,S. solidisima
SS0819_378,20200124pl2,54,CUP0819_378,378,Yes,Yes,5,,50,50,1/24/20,S. solidisima
SS0819_379,20200124pl2,55,CUP0819_379,379,Yes,YI,1.9,,21,21,1/24/20,S. solidisima
SS0819_380,20200124pl2,56,CUP0819_380,380,Yes,YI,12.9,,129,129,1/24/20,S. solidisima
SS0819_381,20200124pl2,57,CUP0819_381,381,Yes,Yes,12.7,,127,127,1/24/20,S. solidisima
