DP	[2]id	[3]bin	[4]number of genotypes	[5]fraction of genotypes (%)	[6]number of sites	[7]fraction of sites (%)
DP	0	545	0	0.000000	1	0.000378
DP	0	546	0	0.000000	1	0.000378
DP	0	547	0	0.000000	3	0.001133
DP	0	549	0	0.000000	2	0.000755
DP	0	551	0	0.000000	2	0.000755
DP	0	552	0	0.000000	1	0.000378
DP	0	553	0	0.000000	1	0.000378
DP	0	554	0	0.000000	1	0.000378
DP	0	555	0	0.000000	1	0.000378
DP	0	557	0	0.000000	2	0.000755
DP	0	558	0	0.000000	3	0.001133
DP	0	559	0	0.000000	2	0.000755
DP	0	560	0	0.000000	3	0.001133
DP	0	562	0	0.000000	1	0.000378
DP	0	563	0	0.000000	1	0.000378
DP	0	564	0	0.000000	1	0.000378
DP	0	565	0	0.000000	2	0.000755
DP	0	566	0	0.000000	2	0.000755
DP	0	567	0	0.000000	2	0.000755
DP	0	568	0	0.000000	2	0.000755
DP	0	569	0	0.000000	1	0.000378
DP	0	571	0	0.000000	2	0.000755
DP	0	573	0	0.000000	1	0.000378
DP	0	575	0	0.000000	1	0.000378
DP	0	581	0	0.000000	1	0.000378
DP	0	582	0	0.000000	1	0.000378
DP	0	583	0	0.000000	1	0.000378
DP	0	584	0	0.000000	3	0.001133
DP	0	588	0	0.000000	1	0.000378
DP	0	589	0	0.000000	2	0.000755
DP	0	590	0	0.000000	1	0.000378
DP	0	591	0	0.000000	4	0.001510
DP	0	592	0	0.000000	2	0.000755
DP	0	593	0	0.000000	3	0.001133
DP	0	595	0	0.000000	1	0.000378
DP	0	599	0	0.000000	1	0.000378
DP	0	600	0	0.000000	1	0.000378
DP	0	601	0	0.000000	1	0.000378
DP	0	603	0	0.000000	1	0.000378
DP	0	604	0	0.000000	2	0.000755
DP	0	606	0	0.000000	2	0.000755
DP	0	607	0	0.000000	2	0.000755
DP	0	609	0	0.000000	1	0.000378
DP	0	610	0	0.000000	1	0.000378
DP	0	611	0	0.000000	1	0.000378
DP	0	614	0	0.000000	1	0.000378
DP	0	618	0	0.000000	1	0.000378
DP	0	621	0	0.000000	1	0.000378
DP	0	623	0	0.000000	3	0.001133
DP	0	628	0	0.000000	1	0.000378
DP	0	629	0	0.000000	1	0.000378
DP	0	630	0	0.000000	1	0.000378
DP	0	632	0	0.000000	1	0.000378
DP	0	633	0	0.000000	1	0.000378
DP	0	637	0	0.000000	1	0.000378
DP	0	644	0	0.000000	1	0.000378
DP	0	648	0	0.000000	1	0.000378
DP	0	649	0	0.000000	2	0.000755
DP	0	652	0	0.000000	1	0.000378
DP	0	653	0	0.000000	2	0.000755
DP	0	655	0	0.000000	1	0.000378
DP	0	656	0	0.000000	1	0.000378
DP	0	657	0	0.000000	2	0.000755
DP	0	660	0	0.000000	1	0.000378
DP	0	661	0	0.000000	1	0.000378
DP	0	663	0	0.000000	1	0.000378
DP	0	664	0	0.000000	2	0.000755
DP	0	665	0	0.000000	1	0.000378
DP	0	666	0	0.000000	1	0.000378
DP	0	668	0	0.000000	1	0.000378
DP	0	673	0	0.000000	2	0.000755
DP	0	675	0	0.000000	1	0.000378
DP	0	678	0	0.000000	1	0.000378
DP	0	680	0	0.000000	1	0.000378
DP	0	682	0	0.000000	2	0.000755
DP	0	683	0	0.000000	1	0.000378
DP	0	684	0	0.000000	1	0.000378
DP	0	686	0	0.000000	1	0.000378
DP	0	690	0	0.000000	1	0.000378
DP	0	692	0	0.000000	1	0.000378
DP	0	694	0	0.000000	1	0.000378
DP	0	695	0	0.000000	2	0.000755
DP	0	696	0	0.000000	2	0.000755
DP	0	697	0	0.000000	1	0.000378
DP	0	699	0	0.000000	1	0.000378
DP	0	700	0	0.000000	1	0.000378
DP	0	704	0	0.000000	1	0.000378
DP	0	710	0	0.000000	1	0.000378
DP	0	720	0	0.000000	1	0.000378
DP	0	721	0	0.000000	1	0.000378
DP	0	725	0	0.000000	1	0.000378
DP	0	726	0	0.000000	1	0.000378
DP	0	728	0	0.000000	2	0.000755
DP	0	739	0	0.000000	1	0.000378
DP	0	743	0	0.000000	1	0.000378
DP	0	745	0	0.000000	1	0.000378
DP	0	756	0	0.000000	1	0.000378
DP	0	759	0	0.000000	1	0.000378
DP	0	764	0	0.000000	1	0.000378
DP	0	766	0	0.000000	2	0.000755
DP	0	773	0	0.000000	1	0.000378
DP	0	774	0	0.000000	1	0.000378
DP	0	775	0	0.000000	1	0.000378
DP	0	776	0	0.000000	1	0.000378
DP	0	778	0	0.000000	2	0.000755
DP	0	779	0	0.000000	1	0.000378
DP	0	781	0	0.000000	2	0.000755
DP	0	782	0	0.000000	1	0.000378
DP	0	783	0	0.000000	2	0.000755
