QUAL	[2]id	[3]Quality	[4]number of SNPs	[5]number of transitions (1st ALT)	[6]number of transversions (1st ALT)	[7]number of indels
QUAL	0	454	60	28	20	3
QUAL	0	455	44	23	13	2
QUAL	0	456	49	25	18	1
QUAL	0	457	45	14	17	4
QUAL	0	458	66	34	21	3
QUAL	0	459	51	20	15	7
QUAL	0	460	49	15	21	1
QUAL	0	461	59	27	20	4
QUAL	0	462	67	33	28	3
QUAL	0	463	42	25	10	2
QUAL	0	464	55	22	23	4
QUAL	0	465	49	18	21	0
QUAL	0	466	41	15	17	4
QUAL	0	467	50	25	17	0
QUAL	0	468	40	10	17	1
QUAL	0	469	52	25	14	1
QUAL	0	470	46	22	20	1
QUAL	0	471	50	19	18	4
QUAL	0	472	43	18	18	2
QUAL	0	473	37	10	16	1
QUAL	0	474	49	16	25	5
QUAL	0	475	35	16	10	3
QUAL	0	476	40	22	12	4
QUAL	0	477	50	21	20	4
QUAL	0	478	47	26	9	2
QUAL	0	479	43	11	22	2
QUAL	0	480	38	18	12	3
QUAL	0	481	57	29	21	1
QUAL	0	482	37	12	11	5
QUAL	0	483	43	13	14	3
QUAL	0	484	39	14	18	5
QUAL	0	485	43	17	18	5
QUAL	0	486	38	15	12	5
QUAL	0	487	50	21	21	4
QUAL	0	488	41	25	9	2
QUAL	0	489	43	19	12	2
QUAL	0	490	42	19	14	3
QUAL	0	491	43	16	16	4
QUAL	0	492	40	22	14	3
QUAL	0	493	39	18	14	4
QUAL	0	494	48	23	17	4
QUAL	0	495	48	19	20	3
QUAL	0	496	33	16	11	2
QUAL	0	497	47	18	16	3
QUAL	0	498	30	9	12	2
QUAL	0	499	39	22	6	2
QUAL	0	500	32	14	9	5
QUAL	0	501	53	27	18	0
QUAL	0	502	33	12	13	5
QUAL	0	503	36	16	10	6
QUAL	0	504	51	25	19	9
QUAL	0	505	37	14	13	3
QUAL	0	506	40	15	19	1
QUAL	0	507	44	20	14	5
QUAL	0	508	40	16	15	3
QUAL	0	509	37	14	13	2
QUAL	0	510	29	10	12	3
QUAL	0	511	32	15	7	3
QUAL	0	512	45	17	16	1
QUAL	0	513	29	13	5	1
QUAL	0	514	32	8	13	2
QUAL	0	515	36	13	15	0
QUAL	0	516	32	18	8	4
QUAL	0	517	33	14	14	0
QUAL	0	518	31	11	13	1
QUAL	0	519	37	17	12	2
QUAL	0	520	35	17	11	1
QUAL	0	521	34	17	10	2
QUAL	0	522	38	9	21	2
QUAL	0	523	29	13	13	1
QUAL	0	524	41	22	19	2
QUAL	0	525	27	14	7	4
QUAL	0	526	35	21	11	3
QUAL	0	527	30	16	10	2
QUAL	0	528	52	23	17	3
QUAL	0	529	31	12	8	3
QUAL	0	530	29	12	6	2
QUAL	0	531	37	17	13	1
QUAL	0	532	40	18	13	3
QUAL	0	533	38	17	12	2
QUAL	0	534	39	14	13	0
QUAL	0	535	25	9	9	2
QUAL	0	536	43	16	18	3
QUAL	0	537	32	11	17	0
QUAL	0	538	29	12	12	3
QUAL	0	539	33	15	11	2
QUAL	0	540	39	11	16	2
QUAL	0	541	30	13	11	3
QUAL	0	542	36	14	12	3
QUAL	0	543	31	11	12	3
QUAL	0	544	35	11	17	1
QUAL	0	545	44	18	14	3
QUAL	0	546	31	15	8	3
QUAL	0	547	50	25	16	4
QUAL	0	548	33	15	13	0
QUAL	0	549	23	10	7	1
QUAL	0	550	30	17	11	1
QUAL	0	551	42	20	11	2
QUAL	0	552	21	5	11	2
QUAL	0	553	38	14	12	2
QUAL	0	554	43	22	12	0
QUAL	0	555	36	18	10	3
QUAL	0	556	26	8	13	2
QUAL	0	557	38	20	10	2
QUAL	0	558	36	16	13	4
QUAL	0	559	22	9	8	4
QUAL	0	560	29	11	10	3
QUAL	0	561	33	13	8	2
QUAL	0	562	39	14	14	4
QUAL	0	563	31	17	8	3
QUAL	0	564	27	13	12	1
QUAL	0	565	34	10	15	2
QUAL	0	566	32	18	8	0
QUAL	0	567	21	12	5	0
QUAL	0	568	32	14	14	0
QUAL	0	569	31	12	6	3
QUAL	0	570	28	16	4	3
QUAL	0	571	51	27	21	3
QUAL	0	572	29	14	6	3
QUAL	0	573	26	11	8	2
QUAL	0	574	35	21	8	1
QUAL	0	575	18	6	8	2
QUAL	0	576	29	14	8	4
QUAL	0	577	30	9	10	2
QUAL	0	578	41	16	19	3
QUAL	0	579	29	7	11	6
QUAL	0	580	24	13	8	2
QUAL	0	581	24	13	7	2
QUAL	0	582	21	13	6	1
QUAL	0	583	25	11	5	0
QUAL	0	584	23	8	7	1
QUAL	0	585	35	15	17	3
QUAL	0	586	26	11	6	0
QUAL	0	587	24	10	7	1
QUAL	0	588	20	6	9	1
QUAL	0	589	25	11	10	0
QUAL	0	590	25	12	10	1
QUAL	0	591	20	7	7	3
QUAL	0	592	33	15	9	2
QUAL	0	593	27	13	5	1
QUAL	0	594	32	20	7	0
QUAL	0	595	22	10	8	1
QUAL	0	596	29	14	8	2
QUAL	0	597	23	14	4	0
QUAL	0	598	34	15	10	2
QUAL	0	599	27	10	9	1
QUAL	0	600	26	12	4	1
QUAL	0	601	41	22	15	0
QUAL	0	602	34	11	12	2
QUAL	0	603	23	11	4	4
QUAL	0	604	27	4	13	3
QUAL	0	605	24	11	9	0
QUAL	0	606	38	17	7	1
QUAL	0	607	32	15	8	2
QUAL	0	608	25	8	8	3
QUAL	0	609	19	8	6	3
QUAL	0	610	21	5	11	1
QUAL	0	611	17	4	6	1
QUAL	0	612	30	17	7	0
QUAL	0	613	30	10	9	1
QUAL	0	614	29	15	9	1
QUAL	0	615	33	17	10	2
QUAL	0	616	24	7	7	0
QUAL	0	617	33	16	8	3
QUAL	0	618	22	9	8	0
QUAL	0	619	22	11	10	0
QUAL	0	620	23	10	3	1
QUAL	0	621	30	7	15	0
QUAL	0	622	19	6	8	2
QUAL	0	623	16	7	6	1
QUAL	0	624	26	13	7	4
QUAL	0	625	25	11	7	1
QUAL	0	626	14	5	5	0
QUAL	0	627	26	10	9	0
QUAL	0	628	30	8	12	1
QUAL	0	629	18	6	5	0
QUAL	0	630	25	10	7	3
QUAL	0	631	13	7	2	0
QUAL	0	632	24	8	9	1
QUAL	0	633	24	4	14	1
QUAL	0	634	19	6	7	3
QUAL	0	635	26	9	12	3
QUAL	0	636	22	9	9	0
