Intensity Value	Number of Pixels
  136.65788	0
  136.74725	0
  136.83663	0
  193.00000	60
  137.01538	0
  137.10476	0
  137.19414	0
  137.28352	0
  137.37289	0
  137.46227	0
  137.55165	0
  137.64103	0
  137.73040	0
  137.81978	0
  137.90916	0
  194.00000	51
  138.08791	0
  138.17729	0
  138.26667	0
  138.35604	0
  138.44542	0
  138.53480	0
  138.62418	0
  138.71355	0
  138.80293	0
  138.89231	0
  195.00000	42
  139.07106	0
  139.16044	0
  139.24982	0
  139.33919	0
  139.42857	0
  139.51795	0
  139.60733	0
  139.69670	0
  139.78608	0
  139.87546	0
  196.00000	40
  140.05421	0
  140.14359	0
  140.23297	0
  140.32234	0
  140.41172	0
  140.50110	0
  140.59048	0
  140.67985	0
  140.76923	0
  140.85861	0
  197.00000	48
  141.03736	0
  141.12674	0
  141.21612	0
  141.30549	0
  141.39487	0
  141.48425	0
  141.57363	0
  141.66300	0
  141.75238	0
  141.84176	0
  198.00000	52
  142.02051	0
  142.10989	0
  142.19927	0
  142.28864	0
  142.37802	0
  142.46740	0
  142.55678	0
  142.64615	0
  142.73553	0
  142.82491	0
  199.00000	51
  143.00366	0
  143.09304	0
  143.18242	0
  143.27179	0
  143.36117	0
  143.45055	0
  143.53993	0
  143.62930	0
  143.71868	0
  143.80806	0
  143.89744	0
  200.00000	45
  144.07619	0
  144.16557	0
  144.25495	0
  144.34432	0
  144.43370	0
  144.52308	0
  144.61245	0
  144.70183	0
  144.79121	0
  144.88059	0
  201.00000	37
  145.05934	0
  145.14872	0
  145.23810	0
  145.32747	0
  145.41685	0
  145.50623	0
  145.59560	0
  145.68498	0
  145.77436	0
  145.86374	0
  202.00000	34
  146.04249	0
  146.13187	0
  146.22125	0
  146.31062	0
  146.40000	0
  146.48938	0
  146.57875	0
  146.66813	0
  146.75751	0
  146.84689	0
  203.00000	54
  147.02564	0
  147.11502	0
  147.20440	0
  147.29377	0
  147.38315	0
  147.47253	0
  147.56190	0
  147.65128	0
  147.74066	0
  147.83004	0
  204.00000	53
  148.00879	0
  148.09817	0
  148.18755	0
  148.27692	0
  148.36630	0
  148.45568	0
  148.54505	0
  148.63443	0
  148.72381	0
  148.81319	0
  148.90256	0
  205.00000	47
  149.08132	0
  149.17070	0
  149.26007	0
  149.34945	0
  149.43883	0
  149.52821	0
  149.61758	0
  149.70696	0
  149.79634	0
  149.88571	0
  206.00000	52
  150.06447	0
  150.15385	0
  150.24322	0
  150.33260	0
  150.42198	0
  150.51136	0
  150.60073	0
  150.69011	0
  150.77949	0
  150.86886	0
  207.00000	41
  151.04762	0
  151.13700	0
  151.22637	0
  151.31575	0
  151.40513	0
  151.49451	0
  151.58388	0
  151.67326	0
  151.76264	0
  151.85201	0
  208.00000	27
  152.03077	0
  152.12015	0
  152.20952	0
  152.29890	0
  152.38828	0
  152.47766	0
  152.56703	0
  152.65641	0
  152.74579	0
  152.83516	0
  209.00000	52
  153.01392	0
  153.10330	0
  153.19267	0
  153.28205	0
  153.37143	0
  153.46081	0
  153.55018	0
  153.63956	0
  153.72894	0
  153.81832	0
  153.90769	0
  210.00000	36
  154.08645	0
  154.17582	0
  154.26520	0
  154.35458	0
  154.44396	0
  154.53333	0
  154.62271	0
  154.71209	0
  154.80147	0
  154.89084	0
  211.00000	49
