DP	[2]id	[3]bin	[4]number of genotypes	[5]fraction of genotypes (%)	[6]number of sites	[7]fraction of sites (%)
DP	0	462	50	0.008310	27	0.031412
DP	0	463	47	0.007811	36	0.041883
DP	0	464	60	0.009972	52	0.060497
DP	0	465	47	0.007811	32	0.037229
DP	0	466	50	0.008310	35	0.040719
DP	0	467	47	0.007811	37	0.043046
DP	0	468	43	0.007147	40	0.046537
DP	0	469	44	0.007313	46	0.053517
DP	0	470	45	0.007479	31	0.036066
DP	0	471	45	0.007479	32	0.037229
DP	0	472	47	0.007811	35	0.040719
DP	0	473	54	0.008975	39	0.045373
DP	0	474	52	0.008642	42	0.048863
DP	0	475	47	0.007811	37	0.043046
DP	0	476	48	0.007978	36	0.041883
DP	0	477	55	0.009141	35	0.040719
DP	0	478	50	0.008310	47	0.054680
DP	0	479	45	0.007479	36	0.041883
DP	0	480	46	0.007645	41	0.047700
DP	0	481	42	0.006980	36	0.041883
DP	0	482	45	0.007479	33	0.038393
DP	0	483	60	0.009972	44	0.051190
DP	0	484	45	0.007479	41	0.047700
DP	0	485	56	0.009307	31	0.036066
DP	0	486	40	0.006648	34	0.039556
DP	0	487	43	0.007147	41	0.047700
DP	0	488	54	0.008975	34	0.039556
DP	0	489	41	0.006814	37	0.043046
DP	0	490	55	0.009141	32	0.037229
DP	0	491	42	0.006980	37	0.043046
DP	0	492	49	0.008144	30	0.034902
DP	0	493	36	0.005983	27	0.031412
DP	0	494	36	0.005983	32	0.037229
DP	0	495	45	0.007479	29	0.033739
DP	0	496	60	0.009972	37	0.043046
DP	0	497	50	0.008310	33	0.038393
DP	0	498	34	0.005651	44	0.051190
DP	0	499	43	0.007147	33	0.038393
DP	0	500	44	0.007313	32	0.037229
DP	0	501	31	0.005152	30	0.034902
DP	0	502	37	0.006149	25	0.029085
DP	0	503	50	0.008310	29	0.033739
DP	0	504	53	0.008809	31	0.036066
DP	0	505	51	0.008476	34	0.039556
DP	0	506	47	0.007811	45	0.052354
DP	0	507	49	0.008144	35	0.040719
DP	0	508	36	0.005983	30	0.034902
DP	0	509	41	0.006814	44	0.051190
DP	0	510	41	0.006814	33	0.038393
DP	0	511	45	0.007479	25	0.029085
DP	0	512	45	0.007479	32	0.037229
DP	0	513	39	0.006482	37	0.043046
DP	0	514	42	0.006980	34	0.039556
DP	0	515	37	0.006149	37	0.043046
DP	0	516	35	0.005817	32	0.037229
DP	0	517	39	0.006482	34	0.039556
DP	0	518	44	0.007313	37	0.043046
DP	0	519	43	0.007147	25	0.029085
DP	0	520	49	0.008144	32	0.037229
